player_id,player_name,team,team_crest,position,dob,nationality,photo_url
3160,Fernando Muslera,Uruguay,https://crests.football-data.org/758.svg,Goalkeeper,1986-06-16,Uruguay,https://img.sofascore.com/api/v1/player/3160/image
30210,Santiago Mele,Uruguay,https://crests.football-data.org/758.svg,Goalkeeper,1997-09-06,Uruguay,https://img.sofascore.com/api/v1/player/30210/image
30386,Sergio Rochet,Uruguay,https://crests.football-data.org/758.svg,Goalkeeper,1993-03-23,Uruguay,https://img.sofascore.com/api/v1/player/30386/image
3165,Guillermo Varela,Uruguay,https://crests.football-data.org/758.svg,Defence,1993-03-24,Uruguay,https://img.sofascore.com/api/v1/player/3165/image
28292,Ronald Araújo,Uruguay,https://crests.football-data.org/758.svg,Defence,1999-03-07,Uruguay,https://img.sofascore.com/api/v1/player/28292/image
28326,Sebastían Cáceres,Uruguay,https://crests.football-data.org/758.svg,Defence,1999-08-18,Uruguay,https://img.sofascore.com/api/v1/player/28326/image
28426,Matías Viña,Uruguay,https://crests.football-data.org/758.svg,Defence,1997-11-09,Uruguay,https://img.sofascore.com/api/v1/player/28426/image
28740,Joaquín Piquerez,Uruguay,https://crests.football-data.org/758.svg,Defence,1998-08-24,Uruguay,https://img.sofascore.com/api/v1/player/28740/image
28770,Maximiliano Araújo,Uruguay,https://crests.football-data.org/758.svg,Defence,2000-02-15,Uruguay,https://img.sofascore.com/api/v1/player/28770/image
32754,Mathías Olivera,Uruguay,https://crests.football-data.org/758.svg,Defence,1997-10-31,Uruguay,https://img.sofascore.com/api/v1/player/32754/image
32767,Santiago Bueno,Uruguay,https://crests.football-data.org/758.svg,Defence,1998-11-09,Uruguay,https://img.sofascore.com/api/v1/player/32767/image
213277,José Giménez,Uruguay,https://crests.football-data.org/758.svg,Defence,1995-01-20,Uruguay,https://img.sofascore.com/api/v1/player/213277/image
96,Federico Valverde,Uruguay,https://crests.football-data.org/758.svg,Midfield,1998-07-22,Uruguay,https://img.sofascore.com/api/v1/player/96/image
1244,Giorgian De Arrascaeta,Uruguay,https://crests.football-data.org/758.svg,Midfield,1994-06-01,Uruguay,https://img.sofascore.com/api/v1/player/1244/image
2041,Rodrigo Bentancur,Uruguay,https://crests.football-data.org/758.svg,Midfield,1997-06-25,Uruguay,https://img.sofascore.com/api/v1/player/2041/image
28549,Manuel Ugarte,Uruguay,https://crests.football-data.org/758.svg,Midfield,2001-04-11,Uruguay,https://img.sofascore.com/api/v1/player/28549/image
28618,Brian Rodríguez,Uruguay,https://crests.football-data.org/758.svg,Midfield,2000-05-20,Uruguay,https://img.sofascore.com/api/v1/player/28618/image
121007,Rodrigo Zalazar,Uruguay,https://crests.football-data.org/758.svg,Midfield,1999-08-12,Uruguay,https://img.sofascore.com/api/v1/player/121007/image
122506,Facundo Pellistri,Uruguay,https://crests.football-data.org/758.svg,Midfield,2001-12-20,Uruguay,https://img.sofascore.com/api/v1/player/122506/image
130957,Emiliano Martínez,Uruguay,https://crests.football-data.org/758.svg,Midfield,1999-08-17,Uruguay,https://img.sofascore.com/api/v1/player/130957/image
152435,Juan Sanabria,Uruguay,https://crests.football-data.org/758.svg,Midfield,2000-03-29,Uruguay,https://img.sofascore.com/api/v1/player/152435/image
168795,Nicolas de la Cruz,Uruguay,https://crests.football-data.org/758.svg,Midfield,1997-06-01,Uruguay,https://img.sofascore.com/api/v1/player/168795/image
11206,Rodrigo Aguirre,Uruguay,https://crests.football-data.org/758.svg,Offence,1994-10-01,Uruguay,https://img.sofascore.com/api/v1/player/11206/image
28612,Darwin Núñez,Uruguay,https://crests.football-data.org/758.svg,Offence,1999-06-24,Uruguay,https://img.sofascore.com/api/v1/player/28612/image
28614,Agustín Canobbio,Uruguay,https://crests.football-data.org/758.svg,Offence,1998-10-01,Uruguay,https://img.sofascore.com/api/v1/player/28614/image
112678,Federico Viñas,Uruguay,https://crests.football-data.org/758.svg,Offence,1998-06-30,Uruguay,https://img.sofascore.com/api/v1/player/112678/image
316,Oliver Baumann,Germany,https://crests.football-data.org/759.svg,Goalkeeper,1990-06-02,Germany,https://img.sofascore.com/api/v1/player/316/image
341,Manuel Neuer,Germany,https://crests.football-data.org/759.svg,Goalkeeper,1986-03-27,Germany,https://img.sofascore.com/api/v1/player/341/image
